№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
3132	77:07:0015008:70	ул ШОЛОХОВА    (г Москва, ул Шолохова, вл 6, корпус 4)	8918.00000000000	ДАЛЬНЕЙШЕЙ ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
3133	77:02:0002003:73	ул Белозерская    (г Москва, ул Белозерская, вл 23А)	122.69000000000	эксплуатации здания мобилизационного назначения, состоящий из 8 обособленных участков: Р1-54.1 кв.м
3134	77:07:0008005:94	ш Сколковское    (г Москва, ш Сколковское, вл 5, стр 1)	4770.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
3135	77:09:0002021:19	ш Дмитровское    (г Москва, ш Дмитровское, вл 101А)	10002.00000000000	эксплуатации детских яслей-сада
3136	77:05:0005002:17	ш Каширское    (г Москва, ш Каширское, вл 10, корп 1)	800.00000000000	объекты размещения складских предприятий (1.2.9)
3137	77:09:0002028:85	ул Дубнинская    (г Москва, ул Дубнинская, вл 14 корп 5)	9409.00000000000	эксплуатации детского сада
3138	77:03:03008:014	улица Барболина, вл. 1	0.00000000000	ЭКСПЛУАТАЦИИ автозаправочной станции
3139	77:01:0001018:28	б-р Гоголевский    (г Москва, б-р Гоголевский, вл 12)	1651.00000000000	эксплуатации зданий историко-культурного назначения
3140	77:03:0007004:22	ул Косинская    (г Москва, ул Косинская, вл 11)	6248.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ В СООТВЕТСТВИИ С УСТАВНЫМИ ВИДАМИ ДЕЯТЕЛЬНОСТИ
3141	77:07:0004002:1010	ул Оршанская    (г. Москва, ул. Оршанская, вл. 16)	55452.00000000000	земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
3142	77:01:0004010:28	ул Фадеева    (г Москва, ул Фадеева, вл 8)	1075.00000000000	эксплуатации здания под поликлинику
3143	77:06:0004009:31	ул Обручева    (г Москва, ул Обручева, вл 33 А)	4311.00000000000	эксплуатации здания диспетчерского пункта
3144	77:02:0017001:20	ул Ботаническая    (г Москва, ул Ботаническая, вл 39а)	709.00000000000	эксплуатации здания электротяговой подстанции городского пассажирского транспорта
3145	77:03:0008001:24	ул Западная    (г. Москва, ул. Западная, вл. 18)	512039.00000000000	ЭКСПЛУАТАЦИИ СООРУЖЕНИЙ ВОСТОЧНОЙ ВОДОПРОВОДНОЙ СТАНЦИИ
3146	77:03:0003008:12	ул Стромынка    (г Москва, ул Стромынка, вл 6)	2270.00000000000	ЭКСПЛУАТАЦИИ ТЕАТРА
3147	77:06:0008011:22	б-р Литовский    (г Москва, б-р Литовский, вл 6, корпус 2)	9249.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
3148	77:01:0001024:33	пер Казарменный    (г Москва, пер Казарменный, вл 6, стр 5)	2565.00000000000	эксплуатации здания под учебно-воспитательную деятельность
3149	77:07:0008001:14	ул Запорожская    (г Москва, ул Запорожская, вл 8, корпус 2)	6391.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
3150	77:05:0005008:11	ул Бехтерева    (г Москва, ул Бехтерева, вл 51/А)	668.00000000000	эксплуатации насосной станции
3151	77:03:0007002:46	ул Вешняковская    (г Москва, ул Вешняковская, вл 4Б)	9827.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
3152	77:01:0003042:31	пр-кт Мира    (г Москва, проспект Мира, вл 14, стр 6)	720.00000000000	эксплуатации существующего здания под водопроводную станцию и использования территории
3153	77:01:0001031:16	пер Потаповский переулок    (г Москва, Потаповский переулок, вл 3, стр 1, 5)	5697.00000000000	эксплуатации зданий и территории под производственные цели
3154	77:01:0003004:56	ул Земляной Вал    (г Москва, ул Земляной Вал, вл 35, стр 1)	2580.00000000000	эксплуатации зданий историко-культурного назначения
3155	77:04:0006000:61	ул Вольская 2-я    (г. Москва, ул. 2-я Вольская, вл. 30)	1180.17000000000	земельные участки предназначенные для размещения производственных и административных зданий, строений, сооружений промышленности, коммунального хозяйства (1.2.9)
3156	77:01:06025:008	Таганская улица, вл. 13,  Стр.3	0.00000000000	ЭКСПЛУАТАЦИИ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ
3157	77:02:0007002:62	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 75а)	289.00000000000	эксплуатации здания электротяговой подстанции
3158	77:10:0005003:33	мкр 6-Й    (г Москва, 6-й микрорайон г Зеленограда, корпус 618А)	10632.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
3159	77:03:0005015:65	ул Парковая 16-я    (г Москва, 16-я Парковая улица, вл 5, стр 3)	48.00000000000	ЭКСПЛУАТАЦИИ ГАЗОРАСПРЕДЕЛИТЕЛЬНОГО ПУНКТА
3160	77:02:0025002:21	ш Дмитровское    (г Москва, ш Дмитровское, вл 182)	15448.00000000000	оформления имущественных прав на существующие строения спецприемника и их эксплуатации, а также проектирования и строительства производственного здания (прачечная и пищеблок)
3161	77:01:01018:013	Гоголевский бульвар, вл. 14, стр.1	0.00000000000	для эксплуатации зданий историко-культурного назначения
3162	77:01:0006022:18	пер Крутицкий 1-й    (г Москва, пер Крутицкий 1-й, вл 5/18, стр 2)	315.00000000000	эксплуатации здания в административных целях
3163	77:05:0010003:49	ул ЛИПЕЦКАЯ    (г Москва, ул Липецкая, вл 14, корпус 2)	300.00000000000	ЭКСПЛУАТАЦИИ ЭЛЕКТРОТЯГОВОЙ ПОДСТАНЦИИ
3164	77:08:0003007:50	б-р ЯНА РАЙНИСА    (г Москва, б-р Яна Райниса, вл 4, корп 4, стр 1)	218.00000000000	ЭКСПЛУАТАЦИИ ЦТП №18
3165	77:01:0001099:73	ул Малая Дмитровка    (г Москва, ул Малая Дмитровка, вл 23/15, стр 4)	506.00000000000	эксплуатации здания под лечебно-трудовые мастерские
3166	77:09:0003017:172	проезд Войковский 5-й    (г Москва, проезд 5-й Войковский, вл 12)	4570.00000000000	целевого использования здания медико-санитарной части
3167	77:02:0006002:5	проезд Ясный    (г Москва, проезд Ясный, дом 24, корпуc 4)	5103.00000000000	использования территории и дальнейшей эксплуатации под размещение спортивной школы
3168	77:05:0011008:15	ул Елецкая    (г Москва, ул Елецкая, вл 26, корпус 2)	9757.00000000000	эксплуатации существующей базы по хранению и ремонту дорожно-уборочной техники, складирования противогололедных реагентов
3169	77:04:0002013:121	ул Ферганская    (г Москва, ул Ферганская, вл 5)	1914.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЬНО-БАЗОВОЙ СТОЛОВОЙ
3170	77:06:0011001:49	ул Ратная    (г Москва, ул Ратная, вл 4-А)	8560.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения.
3171	77:06:0008008:26	ул Профсоюзная    (г Москва, ул Профсоюзная, вл 111/А)	4325.00000000000	ЭКСПЛУАТАЦИИ ПОЛИКЛИНИКИ
3172	77:08:0003006:32	ул Героев Панфиловцев    (г Москва, ул Героев Панфиловцев, вл 37, корп 2, стр 1)	252.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА №74
3173	77:01:0001057:67	пер Власьевский М.    (г Москва, пер Малый Власьевский, вл 2/18, стр 3)	2388.00000000000	эксплуатации зданий историко-культурного назначения
3174	77:01:0002025:39	ул Яузская    (г Москва, ул Яузская, вл 10/2, стр  5)	640.93000000000	эксплуатации зданий историко-культурного назначения
3175	77:08:0010015:1001	ул Мневники    (г. Москва, ул. Мнёвники, вл. 6, стр. 2)	33.20000000000	земельные участки, предназначенные для размещения электростанций, обслуживающих их сооружений и объектов (1.2.10)
