№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
3866	Кафе	Россия, Москва, Авиамоторная улица, 12к2	Общество с ограниченной ответственностью фирма "Псарьки"	1366 ДТУ	2012-01-26 04:00:00.0	2017-01-26 04:00:00.0	Действует
3867	Магазин	Россия, Москва, Зеленый проспект, 30с2	Общество с ограниченной ответственностью "ТК Север+"	5352 ДПРУ	2007-08-29 04:00:00.0	2017-08-29 04:00:00.0	Действует
3868	Магазин	Россия, Москва, Мартеновская улица, 16/36	Общество с ограниченной ответственностью "МЕРКУРИЙ - 43"	8941 ДПРУ	2009-01-13 04:00:00.0	2014-01-13 04:00:00.0	Действует
3869	Ресторан "Планета Суши"	Россия, Москва, улица Новый Арбат, 14с1	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	11906 ДПРУ	2010-03-25 04:00:00.0	2013-03-25 04:00:00.0	Действует
3870	Ресторан "Фрайдис"	Россия, Москва, улица Новый Арбат, 14с1	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	11905 ДПРУ	2010-03-21 04:00:00.0	2013-03-21 04:00:00.0	Действует
3871	Кафе	Россия, Москва, улица Новый Арбат, 22	Общество с ограниченной ответственностью "Кофе Хаус.Эспрессо и Капучино Бар"	522 ДПРУ	2006-04-21 04:00:00.0	2014-04-21 04:00:00.0	Действует
3872	Кафе	Россия, Москва, улица Арбат, 36/2с1	Общество с ограниченной ответственностью  Совместное предприятие "Москомпэксим"	8579 ДПРУ	2008-12-05 04:00:00.0	2013-12-05 04:00:00.0	Действует
3873	Кафе	Россия, Москва, улица Арбат, 36/2с1	Общество с ограниченной ответственностью "ОМИД"	2042 ДТУ	2012-07-19 04:00:00.0	2014-07-19 04:00:00.0	Действует
3874	Ресторан	Россия, Москва, улица Арбат, 36/2с1	Закрытое акционерное общество "ПЛЬЗЕНЬ"	10071 ДПРУ	2009-08-12 04:00:00.0	2014-08-12 04:00:00.0	Действует
3875	Ресторан "Дом Актера"	Россия, Москва, улица Арбат, 35	Общество с ограниченной ответственностью "АЛИМАР"	343 ДПРУ	2006-04-26 04:00:00.0	2014-03-23 04:00:00.0	Действует
3876	Ресторан	Россия, Москва, Кутузовский проспект, 12	Общество с ограниченной ответственностью "РЕСТО"	235 ДТУ	2011-04-22 04:00:00.0	2016-04-22 04:00:00.0	Действует
3877	Магазин	Россия, Москва, Берников переулок, 2	Общество с ограниченной ответственностью "БИЛЛА"	42646 ПРИУ	2008-10-28 04:00:00.0	2014-10-04 04:00:00.0	Действует
3878	Бар	Россия, Москва, Кутузовский проспект, 7/4к1	Общество с ограниченной ответственностью "АНТУРИУМ"	6227 ДПРУ	2007-12-07 04:00:00.0	2012-12-07 04:00:00.0	Действует
3879	Бар	Россия, Москва, улица Знаменка, 7с3	Общество с ограниченной ответственностью "Продвижение"	8363 ДПРУ	2008-10-31 04:00:00.0	2013-10-31 04:00:00.0	Действует
3880	Кафе	Россия, Москва, улица Знаменка, 7с3	Общество с ограниченной ответственностью "Паприка"	1839 ДТУ	2012-06-01 04:00:00.0	2015-06-01 04:00:00.0	Действует
3881	Магазин	Россия, Москва, Вешняковская улица, 17б	Общество с ограниченной ответственностью "Анна и К"	12909 ДПРУ	2010-09-24 04:00:00.0	2015-09-24 04:00:00.0	Действует
3882	Ресторан	Россия, Москва, Пятницкая улица, 52с2	Закрытое акционерное общество "ГРАЦИНТ"	3392 ДПРУ	2006-12-25 04:00:00.0	2014-12-25 04:00:00.0	Действует
3883	Кафе	Россия, Москва, улица Крымский Вал, 10	Общество с ограниченной ответственностью "Акула"	13762 ДПРУ	2011-03-03 04:00:00.0	2016-03-03 04:00:00.0	Действует
3884	Ресторан	Россия, Москва, улица Крымский Вал, 10	Закрытое акционерное общество "ТРЕТИЙ РИМ"	43045 ПРИУ	2004-12-21 04:00:00.0	2012-12-21 04:00:00.0	Действует
3885	Суши-бар	Россия, Москва, улица Крымский Вал, 10	Закрытое акционерное общество "ТРЕТИЙ РИМ"	43047 ПРИУ	2004-12-21 04:00:00.0	2012-12-21 04:00:00.0	Действует
3886	Кафе	Россия, Москва, улица Крымский Вал, 10	Общество с ограниченной ответственностью "ДНК Медиа"	192 ДТУ	2011-04-15 04:00:00.0	2016-04-15 04:00:00.0	Действует
3887	Бар	Россия, Москва, Озерковская набережная, 50с2	Закрытое акционерное общество "ЦСТЭ"	1851 ДТУ	2012-06-09 04:00:00.0	2017-06-09 04:00:00.0	Действует
3888	Бар	Россия, Москва, улица Крымский Вал, 10	Закрытое акционерное общество "ТРЕТИЙ РИМ"	43048 ПРИУ	2004-12-21 04:00:00.0	2012-12-21 04:00:00.0	Действует
3889	Ресторан	Россия, Москва, Пятницкая улица, 52с1	Закрытое акционерное общество "ГРАЦИНТ"	8541 ДПРУ	2008-11-30 04:00:00.0	2013-11-30 04:00:00.0	Действует
3890	Магазин	Россия, Москва, Вешняковская улица, 17а	Общество с ограниченной ответственностью "Отдохни-77"	13448 ДПРУ	2010-12-15 04:00:00.0	2013-12-15 04:00:00.0	Действует
3891	Магазин	Россия, Москва, Вешняковская улица, 17а	Закрытое акционерное общество "ДИСКОНТцентр"	13390 ДПРУ	2010-12-24 04:00:00.0	2015-12-24 04:00:00.0	Действует
3892	Ресторан	Россия, Москва, улица Серафимовича, 5/16	Общество с ограниченной ответственностью "КАНТЭКС ЛТД"	109 ДТУ	2011-03-29 04:00:00.0	2016-03-29 04:00:00.0	Действует
3893	Магазин "Продукты"	Россия, Москва, Авиамоторная улица, 30	Общество с ограниченной ответственностью "АМКОМ"	1435 ПРЮВЮ	2005-12-20 04:00:00.0	2013-12-20 04:00:00.0	Действует
3894	Кафе	Россия, Москва, Кутузовский проспект, 21	Общество с ограниченной ответственностью "Кинотеатр "Пионер"	11639 ДПРУ	2010-10-01 04:00:00.0	2015-01-27 04:00:00.0	Действует
3895	Кафе	Россия, Москва, Багратионовский проезд, 12	Общество с ограниченной ответственностью "Посейдон"	3823 ДПРУ	2007-01-22 04:00:00.0	2015-01-22 04:00:00.0	Действует
