1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
636м;"ст.м.""""Авиамоторная"""" - ст.м.""""Электрозаводская""""";"ст.м.""""Авиамоторная"""" - Авиамоторная улица - Юрьевский переулок - Юрьевская улица - Ухтомская улица - Госпитальный Вал улица - Семеновский Вал улица - Бол.Семеновская улица - ст.м.""""Электрозаводская""""";8;5;10;9,5;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
637м;"ст.м.""""Бибирево"""" - ТЦ """"РЕАЛ""""";"ст.м.""""Бибирево"""" - Бибиревская улица (обратно: Алтуфьевское шоссе - Костромская улица) - Инженерная улица - Путевой проезд - Алтуфьевское шоссе - Декабристов улица - ст.м.""""Отрадное"""" - Хачатуряна улица - Отрадная улица (обратно: Якушкина проезд) - Отрадный проезд - Сигнальный проезд - ТЦ """"РЕАЛ"""" (разворот на Сигнальном проезде)";10;5;10;18,6;М2 класс В;6.40 / 6.40;21.10 / 21.10;"ОАО """"Группа Автолайн""""";;
132м;"ст.м.""""Петровско-Разумовская"""" - ст.м.""""Войковская""""";"ст.м.""""Петровско-Разумовская"""" - Линии Октябрьской ж/д улица - Большая Академическая улица - Зои и Александра Космодемьянских улица (обратно: Старопетровский проезд - 4-й Новоподмосковный переулок) - ст.м.""""Войковская""""";11;5;15;13,4;М2 класс В;7.30 / 7.30;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
133м;"платф.Фрезер - ст.м.""""Авиамоторная""""";"Прямой маршрут: платф.Фрезер - Фрезер шоссе - Перовское шоссе - платф.Перово - Перовское шоссе - Фрезер шоссе - 5-я Кабельная улица - Авиамоторная улица -  Кабельная улица 2-я улица - Кабельный 2-й проезд - Энтузиастов шоссе - Авиамоторная улица - ст.м.""""Авиамоторная"""" Обратный маршрут: ст.м.""""Авиамоторная"""" - Авиамоторная улица - 5-я Кабельная улица - Фрезер шоссе - Перовское шоссе - платф.Перово - Перовское шоссе - Фрезер шоссе - платф.Фрезер";10;4;10;15,3;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
134м;"ст.м.""""П.-Разумовская"""" - ул.Лобненская";"ст.м.""""П.-Разумовская"""" - Локомотивный проезд (обратно: Линии Октябрьской Железной Дороги улица - 3-й Нижнелихоборский проезд) - Дмитровское шоссе - Долгопрудная улица - Карельский бульвар - Вагоноремонтная улица - Клязьминская улица - Лобненская  улица";10;5;15;20,8;М2 класс В;6.30 / 6.30;23.00 / 23.00;"ОАО """"Группа  Автолайн""""";;
135м;"Ст.м.""""Текстильщики"""" -  Батайский проезд";"Ст.м.""""Текстильщики"""" - Люблинская улица - Перерва улица - Подольская улица - Донецкая улица - Батайский проезд - Батайский проезд, дом № 21";12;4;10;21,4;М2 класс В;7.00 / 7.00;22.00 / 21.00;"ОАО """"Группа Автолайн""""";;
136м;"ст.м.""""Выхино"""" - рынок """"Садовод""""";"ст.м.""""Выхино"""" - Хлобыстова улица - Рязанский проспект - МКАД - рынок """"Садовод""""";4;10;40;18,3;М3 класс 1;8.30 / 8.30;18.30 / 18.30;"ОАО """"Группа  Автолайн""""";;
137м;"Ст.м.""""Щукинская"""" - Троице-Лыково";"Ст.м.""""Щукинская"""" - Новощукинская улица - Строгинское шоссе - Марш.Катукова улица - Таллинская улица - Твардовского улица - пр.пр.120 - пр.пр.607 - промзона """"Строгино"""" - Лыковский проезд - Троице-Лыково";7;7;20;18,8;М2 класс В;6.45 / 6.45;22.45 / 22.45;"ОАО """"Группа  Автолайн""""";;
138м;"ст.м.""""Речной вокзал"""" - Левобережная ул.(Центральный военный клинический госпиталь № 6)";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Смоленская улица - Прибрежный проезд - Левобережная улица - Центральный военный клинический гогспиталь № 6 (обратно: Прибрежный проезд - разворот ул.Дыбенко - Смольная улица - Петрозаводская улица - Лавочкина улица)";5;6;10;10,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа  Автолайн""""";;
139м;Ул.Братеевская - ул.Воронежская;Прямой маршрут: Братеевская улица - Ключевая улица - Братеевская улица - Хордовый проезд - Шипиловская улица - Кустанайская улица - Ореховый бульвар - Елецкая улица - Воронежская улица                                                                                                             Обратный маршрут: Воронежская улица - Ясеневая улица - Ореховый бульвар - Задонский проезд - Хордовый проезд - Братеевская улица - Паромная улица - Братеевская улица;6;3;10;11,5;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
