№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
169	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ДЕДОВСК	Абонемент	112.0
170	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕЛЯТИНО	Разовый	333.0
171	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТРИКОТАЖНАЯ	Абонемент	4.0
172	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВЕРБИЛКИ	Разовый	182.0
173	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ДЕГУНИНО	Абонемент	15.0
174	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МИИТОВСКАЯ	Разовый	241.0
175	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ГОЛУТВИН	Абонемент	17.0
176	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БОРОДИНО	Разовый	16.0
177	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОЛОМНА	Разовый	273.0
178	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛАЗАРЕВО	Разовый	11.0
179	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОЛОМНА	Абонемент	2.0
180	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	САЛТЫКОВСКАЯ	Абонемент	16.0
181	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧЕРЕМЕСИНОВО	Разовый	16.0
182	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КШЕНЬ	Разовый	22.0
183	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МЦЕНСК	Разовый	12.0
184	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КАЛУГА 2	Разовый	55.0
185	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КУДРИНСКАЯ	Разовый	26.0
186	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МАЛОАРХАНГЕЛЬСК	Разовый	13.0
187	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗМИЕВКА	Разовый	39.0
188	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КЛИНЦЫ	Разовый	48.0
189	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РОСЛАВЛЬ-1	Разовый	35.0
190	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БРАСОВО	Разовый	46.0
191	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ШИЛОВО	Разовый	53.0
192	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПОЧИНОК	Разовый	15.0
193	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	САСОВО	Разовый	217.0
194	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ГАГАРИН	Разовый	149.0
195	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОРДЖОНИКИДЗЕГРАД	Разовый	285.0
196	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОРДЖОНИКИДЗЕГРАД	Абонемент	11.0
197	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕЛЬЦО	Разовый	29.0
198	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЖУКОВКА	Разовый	114.0
199	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФАЯНСОВАЯ	Разовый	61.0
200	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФЕРЗИКОВО	Разовый	21.0
201	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РЫБНОЕ	Разовый	32.0
202	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МИХАЙЛОВСКИЙ РУДНИК	Разовый	32.0
203	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛАНЕРНАЯ	Абонемент	4.0
204	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ХИМКИ	Абонемент	47.0
205	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РЖЕВ- БАЛТИЙСКИЙ	Разовый	207.0
206	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОЛЕНИНО	Разовый	13.0
207	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СХОДНЯ	Абонемент	39.0
208	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОСТАШКОВ	Разовый	31.0
209	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ХОВРИНО	Абонемент	44.0
210	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	УГЛИЧ	Разовый	21.0
211	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧУПРИЯНОВКА	Разовый	46.0
212	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗАВИДОВО	Разовый	155.0
213	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТОМИЛИНО	Абонемент	128.0
214	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КРАСКОВО	Абонемент	20.0
215	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РОДНИКИ	Абонемент	7.0
216	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЕРОВО	Разовый	1364.0
217	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ИЛЬИНСКАЯ	Разовый	1105.0
218	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ГРИГОРОВО	Абонемент	4.0
219	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ГРИГОРОВО	Разовый	72.0
220	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КОСИНО	Разовый	789.0
221	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ШАТУРА	Разовый	251.0
222	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	УДЕЛЬНАЯ	Абонемент	30.0
223	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА КАЗ	Разовый	6776.0
224	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КУРОВСКАЯ	Разовый	983.0
225	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ХРИПАНЬ	Разовый	61.0
226	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФИЛИ	Абонемент	95.0
227	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОЖЕРЕЛЬЕ	Абонемент	5.0
228	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БИРЮЛЕВО ПАСС	Разовый	1044.0
229	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	АЭРОПОРТ ДОМОД	Абонемент	30.0
230	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧЕРТАНОВО	Разовый	105.0
231	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВЗЛЕТНАЯ	Абонемент	1.0
232	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ВОСТРЯКОВО	Разовый	146.0
233	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ТЕСНА	Разовый	50.0
234	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	РАБОЧИЙ ПОС	Абонемент	16.0
235	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БЕЛОПЕСОЦКАЯ	Разовый	69.0
236	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗВЕНИГОРОД	Абонемент	1.0
237	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ОРЕХОВО ЗУЕВО	Разовый	1000.0
238	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НОГИНСК	Абонемент	13.0
239	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА ТОВ КУР	Разовый	235.0
240	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БУТОВО	Разовый	693.0
241	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НИКОЛЬСКОЕ	Абонемент	14.0
242	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗАРЯ	Разовый	423.0
243	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СТОЛБОВАЯ	Разовый	400.0
244	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СТОЛБОВАЯ	Абонемент	8.0
245	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БОЛШЕВО	Абонемент	169.0
246	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ФАБРИКА 1 МАЯ	Абонемент	3.0
247	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛОСЬ	Абонемент	86.0
248	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗАГОРЯНСКАЯ	Разовый	333.0
