№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
5173	мороженое на Новочеремушкинская ул., вл.20/23	Новочерёмушкинская ул. 20/23	ЮЗАО	Академический	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004956	16.04.2012 0:00:00
5174	мороженое на Гримау ул.,  вл.12	ул. Гримау 12	ЮЗАО	Академический	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000007	16.04.2012 0:00:00
5175	бытовое обслуживание на Азовская ул., вл. 21	Азовская ул. 21	ЮЗАО	Зюзино	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000373	18.06.2012 0:00:00
5176	Прохладительные напитки; Мороженое на ул. Фадеева	ул. Фадеева	ЦАО	Тверской	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
5177	БИЗ	Тверской бульв.	ЦАО	Тверской	Лоток	с 1 апреля по 1 ноября	14.05.2012 0:00:00	14.05.2015 0:00:00	100-000146	14.05.2012 0:00:00
5178	Овощи-фрукты на ст. метро "Улица Академика Янгеля" (Северо-западный выход)	ул. Академика Янгеля, метро северо-западный выход	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.07.2014 0:00:00	600-002674	06.12.2011 0:00:00
5179	Овощи и фрукты на ул. Фадеева	ул. Фадеева	ЦАО	Тверской	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
5180	Фирма Пеликан	Тверская ул. 25/12	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	02.09.2011 0:00:00	02.09.2014 0:00:00	100-001183	02.09.2011 0:00:00
5181	Салатаром	Мамоновский пер. 7 с. 1	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	31.08.2011 0:00:00	31.08.2014 0:00:00	100-000262	31.08.2011 0:00:00
5182	Бахчевые культуры	Кировоградская ул. 38 к. 1	ЮАО	Чертаново Южное	Бахчевой развал	с 1 августа по 1 ноября	01.08.2011 0:00:00	01.11.2014 0:00:00		
5183	Овощи-фрукты на Севастопольский проспект, 14-1	Севастопольский просп. 14 к. 1	ЮЗАО	Котловка	Лоток	с 1 апреля по 1 ноября	01.04.2012 0:00:00	01.11.2014 0:00:00		
5184	Бугаков	Мамоновский пер. 7 с. 1	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	29.08.2011 0:00:00	29.08.2014 0:00:00	100-000594	29.08.2011 0:00:00
5185	Айсберри	ул. Санникова 17	СВАО	Отрадное	Модульный объект	с 1 января по 31 декабря	01.08.2012 0:00:00	01.08.2014 0:00:00		
5186	Филимонова В.В	ул. Декабристов 11	СВАО	Отрадное	Павильон	с 1 января по 31 декабря	04.05.2012 0:00:00	04.05.2014 0:00:00	300-000597	27.02.2012 0:00:00
5187	ТД Подольский хлеб	ул. Маршала Савицкого	ЮЗАО	Южное Бутово	Модульный объект	с 1 января по 31 декабря	05.09.2011 0:00:00	05.09.2014 0:00:00	700-004621	05.09.2011 0:00:00
5188	Пичурина Лариса Николаевна	Мамоновский пер. 7 с. 1	ЦАО	Тверской	Модульный объект	с 1 января по 31 декабря	06.09.2011 0:00:00	06.09.2014 0:00:00	100-000254	06.09.2011 0:00:00
5189	печать на Шестидесятилетия Октября проспект, вл.5 (напротив)	просп. 60-летия Октября 5 к. 1	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
5190	Арбат-торг	2-й Николощеповский пер.	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	12.04.2012 0:00:00	12.04.2015 0:00:00	100-000089	13.04.2012 0:00:00
5191	Плетцов	Смоленская-Сенная пл. 32 С. 1А	ЦАО	Арбат	Елочный базар	с 20 декабря по 31 декабря	14.12.2011 0:00:00	31.12.2014 0:00:00	100-001427	03.12.2012 0:00:00
5192	Краснопресненское агенство печати	Зоологическая ул. 18	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	31.10.2011 0:00:00	31.10.2014 0:00:00	100-000534	31.10.2011 0:00:00
5193	Печать Атлантис-М на Ленинградском просп., д. 2	Ленинградский просп. 2	САО	Беговой	Лоток	с 1 января по 31 декабря	30.05.2012 0:00:00	30.05.2015 0:00:00	200-000689	30.05.2012 0:00:00
5194	табак на Чертановская ул. , вл. 63	Чертановская ул., вл. 63	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002377	15.11.2011 0:00:00
5195	Печать площадь Бутырской заставы	пл. Савёловского Вокзала	СВАО	Бутырский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
5196	цветы на ул. Чертановская, вл. 63, корп. 2	Чертановская ул., вл. 63. к. 2	ЮАО	Чертаново Южное	Павильон	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	600-002822	30.01.2012 0:00:00
5197	Социал-М	Зубовский бульв. 16-20 с. 1	ЦАО	Хамовники	Павильон	с 1 января по 31 декабря	27.01.2012 0:00:00	27.01.2015 0:00:00	100-001034	27.01.2012 0:00:00
5198	Московская переодика+	Алтуфьевское шоссе 88	СВАО	Бибирево	Модульный объект	с 1 января по 31 декабря	01.01.2012 0:00:00	01.01.2015 0:00:00	300-000706	14.06.2012 0:00:00
5199	мороженое на ул.Чертановская, вл. 63	Чертановская ул., вл. 63	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002077	07.11.2011 0:00:00
5200	печать на ул.Чертановская, вл. 63	Чертановская ул., вл. 63	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002062	06.10.2011 0:00:00
5201	печать на Шверника ул., вл.13	ул. Шверника 13 к. 1	ЮЗАО	Академический	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000045	29.11.2011 0:00:00
5202	печать на ул. Чертановская, вл. 60	Чертановская ул., 60-1	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.07.2014 0:00:00	600-002664	19.12.2011 0:00:00
5203	Московская дирекция театрально-концертных и спортивно-зрелещных касс	ул. Новый Арбат 19	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.09.2011 0:00:00	05.09.2014 0:00:00	100-000405	05.09.2011 0:00:00
5204	хлеб на Ботаническая ул., вл. 33, к. 4	Ботаническая ул. 33 к. 4	СВАО	Марфино	Модульный объект	с 1 января по 31 декабря	01.09.2011 0:00:00	31.08.2014 0:00:00	300-000389	13.06.2012 0:00:00
5205	Теремок-стрит	Тишинская пл. 8	ЦАО	Пресненский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	100-000782	02.09.2011 0:00:00
5206	АТП ЛЭС	Ленинский просп. 39/1	ЮЗАО	Гагаринский	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000156	16.04.2012 0:00:00
5207	мороженое на ул.Чертановская, вл. 51	Чертановская ул., вл. 51	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002048	28.10.2011 0:00:00
5208	Фирма МОМ	Новослободская ул. 73 с. 1	ЦАО	Тверской	Павильон	с 1 января по 31 декабря	02.02.2012 0:00:00	02.02.2015 0:00:00	100-001238	02.02.2012 0:00:00
5209	печать на Нахимовский проспект, д. 22	Нахимовский просп. 22	ЮЗАО	Котловка	Лоток	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00		
5210	Театральные билеты на Арбат ул., вл.37 ООО "Сим-Трейд"	ул. Арбат 37/2 с. 2	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.10.2011 0:00:00	05.10.2014 0:00:00	100-000398	05.10.2011 0:00:00
5211	печать на ул. Чертановская, вл. 51	Чертановская ул., вл. 51	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002256	05.10.2011 0:00:00
5212	табак на ул. Чертановская, вл. 51	Чертановская ул., вл. 51	ЮАО	Чертаново Южное	Модульный объект	с 1 января по 31 декабря	01.07.2011 0:00:00	01.12.2014 0:00:00	600-002430	17.11.2011 0:00:00
5213	общественное питание на Большая Черемушкинская ул., вл.19, корп.4	Большая Черёмушкинская ул. 19 к. 4	ЮЗАО	Котловка	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-004601	30.08.2011 0:00:00
5214	Овощи и фрукты на Новослободская ул.	Новослободская ул.	ЦАО	Тверской	Лоток	с 1 апреля по 1 ноября	05.07.2012 0:00:00	05.07.2015 0:00:00		
5215	Алмаз-ДВ	ул. Льва Толстого 3	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	06.09.2011 0:00:00	06.05.2014 0:00:00	100-000761	06.09.2011 0:00:00
5216	Мясо на Малый Лёвшинский пер.	Малый Лёвшинский пер.	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5217	Бахчевые культуры на ул. Б. Черёмушкинская, д. 19 корп. 4	Большая Черёмушкинская ул. 19 к. 4	ЮЗАО	Котловка	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2014 0:00:00	700-000139	15.08.2012 0:00:00
5218	Молоко, молочная продукция на Малый Лёвшинский пер.	Малый Лёвшинский пер.	ЦАО	Хамовники	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5219	Печать;  на Проточный пер.	Проточный пер.	ЦАО	Арбат	Модульный объект	с 1 января по 31 декабря	05.07.2012 0:00:00	05.07.2015 0:00:00		
5220	мороженое на Грина ул.,  вл.10	ул. Грина 10	ЮЗАО	Северное Бутово	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	700-000468	30.12.2011 0:00:00
